Transaction ID,Date,City,Branch,Shop Name,Product ID,Product Category,Unit Price,Qty Sold,Revenue,Profit,Weekday,Year,Month
CUS1056,44997,Austin,Central Park,Suburban Sip Spot,SPC001,Coffee Beverages,3.75,1,3.75,1.3125,Sun,2023,Mar
CUS1057,44996,Los Angeles,Capitol Hill,Espresso,SPC001,Cold Drinks,3,1,3,1.05,Sat,2023,Mar
CUS1058,44815,New York,Central Park,C P Coffee ,SND001,Sandwiches ,2.45,1,2.45,0.8575,Sun,2022,Sep
CUS1059,45044,New York,Central Park,C P Coffee ,CLD001,Sandwiches ,3.75,2,7.5,2.625,Fri,2023,Apr
CUS1060,44726,Austin,Central Park,Delight Café,DES001,Snacks,3.5,1,3.5,1.225,Tue,2022,Jun
CUS1061,44780,New York,Brooklyn,Beanery,SND001,Cold Drinks,3,1,3,1.05,Sun,2022,Aug
CUS1062,45203,Seattle,Capitol Hill,Brew Cafe,SKT001,Coffee Beverages,4.25,2,8.5,2.975,Wed,2023,Oct
CUS1063,44372,Austin,Central Park,Delight Café,TEA001,Sandwiches ,4.25,1,4.25,1.4875,Fri,2021,Jun
CUS1064,44841,Austin,Central Park,Suburban Sip Spot,SPC001,Sandwiches ,3,2,6,2.1,Fri,2022,Oct
CUS1065,44859,Los Angeles,Venice Beach,Coffee House,CLD001,Sandwiches ,3.75,1,3.75,1.3125,Tue,2022,Oct
CUS1066,44397,New York,Central Park,TSQ Brew,SKT001,Snacks,2.5,2,5,1.75,Tue,2021,Jul
CUS1067,44560,New York,Brooklyn,Sip & Savor,SPC001,Coffee Beverages,3,1,3,1.05,Thu,2021,Dec
CUS1068,45128,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Desserts,3,2,6,2.1,Fri,2023,Jul
CUS1069,45220,New York,Central Park,C P Coffee ,CLD001,Sandwiches ,3.75,2,7.5,2.625,Sat,2023,Oct
CUS1070,45048,New York,Central Park,C P Coffee ,COF001,Sandwiches ,3,2,6,2.1,Tue,2023,May
CUS1071,45052,Chicago,Madison Street,Park Brew,SKT001,Sandwiches ,3.25,1,3.25,1.1375,Sat,2023,May
CUS1072,44985,New York,Brooklyn,Beanery,COF001,Coffee Beverages,2.5,1,2.5,0.875,Tue,2023,Feb
CUS1073,44496,Chicago,Madison Street,Park Roaste,CLD001,Cold Drinks,3,1,3,1.05,Wed,2021,Oct
CUS1074,44752,Austin,Central Park,Suburban Sip Spot,SKT001,Sandwiches ,3.75,2,7.5,2.625,Sun,2022,Jul
CUS1075,44928,Los Angeles,Hollywood Hills,Hills Cafe,COF001,Sandwiches ,3.25,1,3.25,1.1375,Mon,2023,Jan
CUS1076,44387,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Coffee Beverages,3.1,1,3.1,1.085,Sat,2021,Jul
CUS1077,44807,Chicago,Madison Street,Park Brew,SKT001,Specialty Drinks,2.5,1,2.5,0.875,Sat,2022,Sep
CUS1078,44926,Chicago,Michigan Avenue,Loop Latte Lounge,TEA001,Sandwiches ,3,2,6,2.1,Sat,2022,Dec
CUS1079,44342,New York,Central Park,C P Coffee ,SKT001,Snacks,2,1,2,0.7,Wed,2021,May
CUS1080,44688,Chicago,Michigan Avenue,Loop Latte Lounge,DES001,Desserts,3,2,6,2.1,Sat,2022,May
CUS1081,44787,Los Angeles,Hollywood Hills,Hills Cafe,TEA001,Snacks,3.75,2,7.5,2.625,Sun,2022,Aug
CUS1082,45270,Los Angeles,Hollywood Hills,Hills Cafe,CLD001,Desserts,3,1,3,1.05,Sun,2023,Dec
CUS1083,44456,Chicago,Madison Street,Park Brew,COF001,Coffee Beverages,3.75,1,3.75,1.3125,Fri,2021,Sep
CUS1084,44916,Los Angeles,Venice Beach,Beach Cafe,SKT001,Cold Drinks,3,2,6,2.1,Wed,2022,Dec
CUS1085,44680,New York,Brooklyn,Sip & Savor,COF001,Specialty Drinks,2.5,1,2.5,0.875,Fri,2022,Apr
CUS1086,44300,Los Angeles,Venice Beach,Coffee House,SKT001,Tea Beverages,4.25,2,8.5,2.975,Wed,2021,Apr
CUS1087,45022,New York,Brooklyn,Sip & Savor,SND001,Sandwiches ,2.2,2,4.4,1.54,Thu,2023,Apr
CUS1088,45024,Chicago,Michigan Avenue,Loop Latte Lounge,SKT001,Desserts,2.5,2,5,1.75,Sat,2023,Apr
CUS1089,44769,New York,Brooklyn,Sip & Savor,TEA001,Desserts,2.5,1,2.5,0.875,Wed,2022,Jul
CUS1090,44208,New York,Brooklyn,Beanery,COF001,Desserts,2.55,2,5.1,1.785,Tue,2021,Jan
CUS1091,44345,New York,Brooklyn,Beanery,SKT001,Sandwiches ,3.5,2,7,2.45,Sat,2021,May
CUS1092,45124,Los Angeles,Hollywood Hills,Hills Cafe,TEA001,Coffee Beverages,3.5,1,3.5,1.225,Mon,2023,Jul
CUS1093,44300,Chicago,Michigan Avenue,Magnificent Mile Cafe,CLD001,Coffee Beverages,3,2,6,2.1,Wed,2021,Apr
CUS1094,44603,New York,Central Park,TSQ Brew,TEA001,Specialty Drinks,3.1,1,3.1,1.085,Fri,2022,Feb
CUS1095,44563,Austin,Central Park,Delight Café,COF001,Desserts,3.25,1,3.25,1.1375,Sun,2022,Jan
CUS1096,44348,Los Angeles,Capitol Hill,Espresso,SPC001,Snacks,3.75,1,3.75,1.3125,Tue,2021,Jun
CUS1097,44557,New York,Central Park,C P Coffee ,COF001,Sandwiches ,4.5,1,4.5,1.575,Mon,2021,Dec
CUS1098,45033,Austin,Central Park,Delight Café,SND001,Sandwiches ,3.75,2,7.5,2.625,Mon,2023,Apr
CUS1099,44898,New York,Brooklyn,Beanery,SPC001,Desserts,3,2,6,2.1,Sat,2022,Dec
CUS1100,44574,Chicago,Madison Street,Park Brew,TEA001,Sandwiches ,4.75,2,9.5,3.325,Thu,2022,Jan
CUS1101,44517,Los Angeles,Venice Beach,Beach Cafe,SND001,Desserts,3,1,3,1.05,Wed,2021,Nov
CUS1102,44988,Austin,Central Park,Suburban Sip Spot,SKT001,Desserts,2.5,2,5,1.75,Fri,2023,Mar
CUS1103,44306,New York,Brooklyn,Sip & Savor,COF001,Desserts,3.75,1,3.75,1.3125,Tue,2021,Apr
CUS1104,44239,New York,Brooklyn,Beanery,SND001,Specialty Drinks,3.75,1,3.75,1.3125,Fri,2021,Feb
CUS1105,44950,Austin,Zilker Park,Lakeside Brew ,COF001,Coffee Beverages,3.5,1,3.5,1.225,Tue,2023,Jan
CUS1106,44648,Chicago,Madison Street,Park Brew,TEA001,Cold Drinks,2,1,2,0.7,Mon,2022,Mar
CUS1107,44398,Austin,Zilker Park,Lakeside Brew ,TEA001,Specialty Drinks,3.75,1,3.75,1.3125,Wed,2021,Jul
CUS1108,44215,Los Angeles,Hollywood Hills,Hills Cafe,CLD001,Tea Beverages,3.5,1,3.5,1.225,Tue,2021,Jan
CUS1109,45107,Chicago,Michigan Avenue,Magnificent Mile Cafe,CLD001,Sandwiches ,3,2,6,2.1,Fri,2023,Jun
CUS1110,45052,Seattle,Capitol Hill,Brew Cafe,SND001,Snacks,3.5,1,3.5,1.225,Sat,2023,May
CUS1111,44815,Seattle,Capitol Hill,Brew Cafe,COF001,Cold Drinks,4.25,2,8.5,2.975,Sun,2022,Sep
CUS1112,44850,Seattle,Capitol Hill,Brew Cafe,SKT001,Desserts,4.5,1,4.5,1.575,Sun,2022,Oct
CUS1113,45228,Austin,Central Park,Suburban Sip Spot,COF001,Snacks,3,2,6,2.1,Sun,2023,Oct
CUS1114,44280,Seattle,Pike Place,Perk Café,SKT001,Specialty Drinks,4.5,1,4.5,1.575,Thu,2021,Mar
CUS1115,44891,New York,Central Park,C P Coffee ,SPC001,Coffee Beverages,3,1,3,1.05,Sat,2022,Nov
CUS1116,44519,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Tea Beverages,3.75,1,3.75,1.3125,Fri,2021,Nov
CUS1117,45040,New York,Central Park,C P Coffee ,DES001,Coffee Beverages,2.5,1,2.5,0.875,Mon,2023,Apr
CUS1118,44928,New York,Brooklyn,Beanery,DES001,Desserts,3,1,3,1.05,Mon,2023,Jan
CUS1119,44885,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Coffee Beverages,3,2,6,2.1,Sun,2022,Nov
CUS1120,44877,New York,Central Park,TSQ Brew,SPC001,Desserts,2.5,2,5,1.75,Sat,2022,Nov
CUS1121,44490,Chicago,Michigan Avenue,Magnificent Mile Cafe,COF001,Snacks,3,2,6,2.1,Thu,2021,Oct
CUS1122,44610,Chicago,Madison Street,Park Roaste,SPC001,Specialty Drinks,3.75,1,3.75,1.3125,Fri,2022,Feb
CUS1123,44307,Austin,Zilker Park,Lakeside Brew ,DES001,Cold Drinks,2.2,1,2.2,0.77,Wed,2021,Apr
CUS1124,45087,Los Angeles,Venice Beach,Beach Cafe,COF001,Tea Beverages,3.75,2,7.5,2.625,Sat,2023,Jun
CUS1125,44756,Chicago,Madison Street,Park Roaste,SPC001,Sandwiches ,3,1,3,1.05,Thu,2022,Jul
CUS1126,44862,Austin,Central Park,Suburban Sip Spot,SND001,Desserts,3,2,6,2.1,Fri,2022,Oct
CUS1127,44940,New York,Central Park,C P Coffee ,COF001,Snacks,3.75,2,7.5,2.625,Sat,2023,Jan
CUS1128,44645,New York,Brooklyn,Beanery,DES001,Coffee Beverages,2.5,2,5,1.75,Fri,2022,Mar
CUS1129,44615,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Desserts,3.5,2,7,2.45,Wed,2022,Feb
CUS1130,44649,Austin,Zilker Park,Lakeside Brew ,CLD001,Specialty Drinks,2.55,2,5.1,1.785,Tue,2022,Mar
CUS1131,44997,Chicago,Michigan Avenue,Loop Latte Lounge,TEA001,Tea Beverages,3.1,2,6.2,2.17,Sun,2023,Mar
CUS1132,44434,Chicago,Madison Street,Park Roaste,SKT001,Cold Drinks,4.5,1,4.5,1.575,Thu,2021,Aug
CUS1133,44908,Austin,Central Park,Delight Café,SND001,Sandwiches ,2.5,1,2.5,0.875,Tue,2022,Dec
CUS1134,44974,Chicago,Madison Street,Park Brew,SPC001,Snacks,3,1,3,1.05,Fri,2023,Feb
CUS1135,44935,New York,Brooklyn,Sip & Savor,SPC001,Tea Beverages,3,2,6,2.1,Mon,2023,Jan
CUS1136,45059,New York,Central Park,TSQ Brew,DES001,Snacks,3.25,1,3.25,1.1375,Sat,2023,May
CUS1137,45173,Seattle,Capitol Hill,Brew Cafe,DES001,Coffee Beverages,2.5,2,5,1.75,Mon,2023,Sep
CUS1138,44423,Los Angeles,Venice Beach,Coffee House,CLD001,Desserts,3.5,1,3.5,1.225,Sun,2021,Aug
CUS1139,44309,Los Angeles,Capitol Hill,Espresso,DES001,Coffee Beverages,3.75,1,3.75,1.3125,Fri,2021,Apr
CUS1140,45005,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Cold Drinks,3.75,1,3.75,1.3125,Mon,2023,Mar
CUS1141,44883,New York,Brooklyn,Beanery,SND001,Desserts,2.5,2,5,1.75,Fri,2022,Nov
CUS1142,44924,Austin,Central Park,Suburban Sip Spot,COF001,Desserts,2.2,2,4.4,1.54,Thu,2022,Dec
CUS1143,44326,Seattle,Pike Place,Perk Café,SKT001,Specialty Drinks,3.75,1,3.75,1.3125,Mon,2021,May
CUS1144,45097,Chicago,Michigan Avenue,Loop Latte Lounge,COF001,Sandwiches ,3,1,3,1.05,Tue,2023,Jun
CUS1145,44580,Chicago,Michigan Avenue,Magnificent Mile Cafe,TEA001,Cold Drinks,2.5,2,5,1.75,Wed,2022,Jan
CUS1146,44933,Chicago,Madison Street,Park Brew,DES001,Tea Beverages,2.5,1,2.5,0.875,Sat,2023,Jan
CUS1147,44840,Chicago,Madison Street,Park Brew,CLD001,Snacks,3.25,1,3.25,1.1375,Thu,2022,Oct
CUS1148,44588,Austin,Zilker Park,Lakeside Brew ,DES001,Tea Beverages,3,2,6,2.1,Thu,2022,Jan
CUS1149,44718,Los Angeles,Venice Beach,Coffee House,TEA001,Snacks,3.75,2,7.5,2.625,Mon,2022,Jun
CUS1150,44839,Austin,Central Park,Delight Café,CLD001,Cold Drinks,3,2,6,2.1,Wed,2022,Oct
CUS1151,44622,New York,Brooklyn,Beanery,SND001,Cold Drinks,3.5,2,7,2.45,Wed,2022,Mar
CUS1152,44785,Chicago,Madison Street,Park Roaste,CLD001,Coffee Beverages,3.1,1,3.1,1.085,Fri,2022,Aug
CUS1153,44858,Austin,Zilker Park,Lakeside Brew ,DES001,Sandwiches ,3,2,6,2.1,Mon,2022,Oct
CUS1154,44315,New York,Central Park,TSQ Brew,TEA001,Specialty Drinks,2.5,1,2.5,0.875,Thu,2021,Apr
CUS1155,44726,New York,Central Park,C P Coffee ,COF001,Desserts,3.75,1,3.75,1.3125,Tue,2022,Jun
CUS1156,44906,Los Angeles,Capitol Hill,Espresso,TEA001,Desserts,3.75,2,7.5,2.625,Sun,2022,Dec
CUS1157,44424,Seattle,Pike Place,Perk Café,SPC001,Specialty Drinks,2.5,1,2.5,0.875,Mon,2021,Aug
CUS1158,45159,Los Angeles,Venice Beach,Coffee House,CLD001,Snacks,3,2,6,2.1,Mon,2023,Aug
CUS1159,44772,Seattle,Pike Place,Perk Café,COF001,Tea Beverages,3.1,2,6.2,2.17,Sat,2022,Jul
CUS1160,45129,New York,Central Park,C P Coffee ,CLD001,Cold Drinks,3.5,1,3.5,1.225,Sat,2023,Jul
CUS1161,44745,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Snacks,3.75,1,3.75,1.3125,Sun,2022,Jul
CUS1162,44978,Los Angeles,Capitol Hill,Espresso,TEA001,Tea Beverages,3,1,3,1.05,Tue,2023,Feb
CUS1163,45201,Austin,Central Park,Delight Café,CLD001,Sandwiches ,2.5,1,2.5,0.875,Mon,2023,Oct
CUS1164,44575,Los Angeles,Venice Beach,Coffee House,TEA001,Tea Beverages,3.5,2,7,2.45,Fri,2022,Jan
CUS1165,44226,Los Angeles,Capitol Hill,Espresso,TEA001,Tea Beverages,2.5,2,5,1.75,Sat,2021,Jan
CUS1166,45185,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Sandwiches ,2.5,1,2.5,0.875,Sat,2023,Sep
CUS1167,44251,Chicago,Madison Street,Park Roaste,COF001,Sandwiches ,3,1,3,1.05,Wed,2021,Feb
CUS1168,45208,Austin,Zilker Park,Lakeside Brew ,TEA001,Coffee Beverages,3,1,3,1.05,Mon,2023,Oct
CUS1169,44420,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Tea Beverages,3.1,1,3.1,1.085,Thu,2021,Aug
CUS1170,44923,New York,Central Park,TSQ Brew,SND001,Coffee Beverages,2,2,4,1.4,Wed,2022,Dec
CUS1171,44282,Los Angeles,Venice Beach,Beach Cafe,COF001,Sandwiches ,2.5,2,5,1.75,Sat,2021,Mar
CUS1172,44564,Los Angeles,Venice Beach,Coffee House,TEA001,Snacks,3.75,2,7.5,2.625,Mon,2022,Jan
CUS1173,45056,New York,Brooklyn,Beanery,SKT001,Snacks,3.1,2,6.2,2.17,Wed,2023,May
CUS1174,45186,Chicago,Michigan Avenue,Magnificent Mile Cafe,DES001,Desserts,2.5,2,5,1.75,Sun,2023,Sep
CUS1175,44614,Seattle,Pike Place,Perk Café,COF001,Coffee Beverages,2.2,2,4.4,1.54,Tue,2022,Feb
CUS1176,44410,Austin,Central Park,Suburban Sip Spot,TEA001,Cold Drinks,3,2,6,2.1,Mon,2021,Aug
CUS1177,45066,Austin,Zilker Park,Lakeside Brew ,TEA001,Tea Beverages,3.75,2,7.5,2.625,Sat,2023,May
CUS1178,44389,Seattle,Pike Place,Perk Café,COF001,Tea Beverages,3,1,3,1.05,Mon,2021,Jul
CUS1179,44761,Chicago,Madison Street,Park Brew,COF001,Sandwiches ,4.25,2,8.5,2.975,Tue,2022,Jul
CUS1180,44901,Los Angeles,Hollywood Hills,Hills Cafe,SPC001,Snacks,2.5,2,5,1.75,Tue,2022,Dec
CUS1181,45002,New York,Brooklyn,Beanery,SND001,Tea Beverages,3.75,1,3.75,1.3125,Fri,2023,Mar
CUS1182,44284,Chicago,Madison Street,Park Brew,COF001,Snacks,2.5,2,5,1.75,Mon,2021,Mar
CUS1183,45243,New York,Brooklyn,Beanery,SKT001,Coffee Beverages,2.5,2,5,1.75,Mon,2023,Nov
CUS1184,44542,Los Angeles,Venice Beach,Coffee House,DES001,Coffee Beverages,2.2,2,4.4,1.54,Sun,2021,Dec
CUS1185,45222,Seattle,Pike Place,Perk Café,SKT001,Sandwiches ,3.75,1,3.75,1.3125,Mon,2023,Oct
CUS1186,45270,Austin,Central Park,Delight Café,TEA001,Sandwiches ,3,2,6,2.1,Sun,2023,Dec
CUS1187,44801,Los Angeles,Hollywood Hills,Hills Cafe,TEA001,Cold Drinks,3,1,3,1.05,Sun,2022,Aug
CUS1188,45262,Los Angeles,Capitol Hill,Espresso,TEA001,Coffee Beverages,3.75,1,3.75,1.3125,Sat,2023,Dec
CUS1189,45206,Chicago,Madison Street,Park Brew,SPC001,Specialty Drinks,3,1,3,1.05,Sat,2023,Oct
CUS1190,45257,Austin,Central Park,Suburban Sip Spot,CLD001,Coffee Beverages,2.5,1,2.5,0.875,Mon,2023,Nov
CUS1191,44642,Los Angeles,Capitol Hill,Espresso,DES001,Cold Drinks,2,2,4,1.4,Tue,2022,Mar
CUS1192,44668,New York,Central Park,C P Coffee ,DES001,Sandwiches ,2.55,1,2.55,0.8925,Sun,2022,Apr
CUS1193,44278,Austin,Central Park,Delight Café,CLD001,Coffee Beverages,2.5,1,2.5,0.875,Tue,2021,Mar
CUS1194,44586,Austin,Central Park,Suburban Sip Spot,CLD001,Cold Drinks,3.5,1,3.5,1.225,Tue,2022,Jan
CUS1195,44813,Seattle,Pike Place,Perk Café,DES001,Snacks,3.5,1,3.5,1.225,Fri,2022,Sep
CUS1196,45061,Chicago,Michigan Avenue,Loop Latte Lounge,SKT001,Cold Drinks,3.75,2,7.5,2.625,Mon,2023,May
CUS1197,45076,Los Angeles,Venice Beach,Beach Cafe,SND001,Tea Beverages,3,1,3,1.05,Tue,2023,May
CUS1198,44412,Austin,Zilker Park,Lakeside Brew ,SND001,Sandwiches ,4.5,1,4.5,1.575,Wed,2021,Aug
CUS1199,44802,Austin,Zilker Park,Lakeside Brew ,CLD001,Desserts,3,2,6,2.1,Mon,2022,Aug
CUS1200,44443,New York,Brooklyn,Sip & Savor,SKT001,Cold Drinks,3,1,3,1.05,Sat,2021,Sep
CUS1201,44670,Los Angeles,Hollywood Hills,Hills Cafe,SND001,Coffee Beverages,4.75,1,4.75,1.6625,Tue,2022,Apr
CUS1202,44407,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Desserts,3.25,1,3.25,1.1375,Fri,2021,Jul
CUS1203,44709,Los Angeles,Venice Beach,Coffee House,SND001,Sandwiches ,2.55,1,2.55,0.8925,Sat,2022,May
CUS1204,44301,New York,Brooklyn,Sip & Savor,SPC001,Sandwiches ,3.5,1,3.5,1.225,Thu,2021,Apr
CUS1205,44479,New York,Brooklyn,Sip & Savor,DES001,Cold Drinks,2.5,2,5,1.75,Sun,2021,Oct
CUS1206,45127,Los Angeles,Capitol Hill,Espresso,SPC001,Cold Drinks,3,1,3,1.05,Thu,2023,Jul
CUS1207,44585,Austin,Zilker Park,Lakeside Brew ,SKT001,Snacks,3,1,3,1.05,Mon,2022,Jan
CUS1208,44893,Seattle,Pike Place,Perk Café,SND001,Desserts,3.1,1,3.1,1.085,Mon,2022,Nov
CUS1209,44625,Chicago,Michigan Avenue,Loop Latte Lounge,COF001,Tea Beverages,3.5,1,3.5,1.225,Sat,2022,Mar
CUS1210,44741,New York,Central Park,C P Coffee ,SND001,Specialty Drinks,3,1,3,1.05,Wed,2022,Jun
CUS1211,44208,Chicago,Madison Street,Park Roaste,CLD001,Desserts,3,2,6,2.1,Tue,2021,Jan
CUS1212,45028,Los Angeles,Hollywood Hills,Hills Cafe,COF001,Sandwiches ,4.75,1,4.75,1.6625,Wed,2023,Apr
CUS1213,45199,Chicago,Madison Street,Park Roaste,DES001,Specialty Drinks,3,1,3,1.05,Sat,2023,Sep
CUS1214,45185,Los Angeles,Venice Beach,Coffee House,TEA001,Cold Drinks,2.5,2,5,1.75,Sat,2023,Sep
CUS1215,44818,Chicago,Madison Street,Park Brew,TEA001,Snacks,3.75,1,3.75,1.3125,Wed,2022,Sep
CUS1216,44573,Austin,Central Park,Suburban Sip Spot,SKT001,Coffee Beverages,3,2,6,2.1,Wed,2022,Jan
